Kolumna1	Kolumna2	Kolumna3	Kolumna4	kg_trans	ilosc_kg	przed_przecena	PO_PRZECENIE	rabaty_suma	czy_wystepuje_rabat						
05/01/2022	Ligol	Z	014-02-05-290	110	110	374	374	0	0						
10/01/2022	Jonagold	Z	014-02-05-290	695	805	2363	2363	0	0		ILOSC RABATÓW	suma udzielonych rabató			
10/01/2022	Szampion	Z	014-02-05-290	232	1037	556,8	556,8	0	0		180	3089,1			
19/01/2022	Gloster	Z	014-02-05-290	11	1048	37,4	37,4	0	0					Alwa	2,9
22/01/2022	Jonagored	Z	014-02-05-290	590	1638	2065	2065	0	0					Antonowka	3,2
24/01/2022	Jonagored	Z	014-02-05-290	374	2012	1309	1309	0	0					Cortland	3,2
25/01/2022	Gala	Z	014-02-05-290	311	2323	1057,4	1057,4	0	0					Delikates	3,2
27/01/2022	Alwa	Z	014-02-05-290	415	2738	1203,5	1203,5	0	0					Gala	3,4
28/01/2022	Ligol	Z	014-02-05-290	81	2819	275,4	275,4	0	0					Gloster	3,4
07/02/2022	Gala	Z	014-02-05-290	675	3494	2295	2295	0	0					Idared	3,4
21/02/2022	Ligol	Z	014-02-05-290	130	3624	442	442	0	0					Jonagold	3,4
22/02/2022	Jonagored	Z	014-02-05-290	599	4223	2096,5	2096,5	0	0					Jonagored	3,5
01/03/2022	Jonagold	Z	014-02-05-290	320	4543	1088	1088	0	0					Kosztela	2,5
16/03/2022	Idared	Z	014-02-05-290	344	4887	1169,6	1169,6	0	0					Ligol	3,4
17/03/2022	Jonagored	Z	014-02-05-290	556	5443	1946	1946	0	0					Lobo	2,5
28/03/2022	Gloster	Z	014-02-05-290	417	5860	1417,8	1417,8	0	0					Melba	2,7
01/04/2022	Jonagold	Z	014-02-05-290	389	6249	1322,6	1322,6	0	0					Papierowka	3,2
04/04/2022	Jonagored	Z	014-02-05-290	249	6498	871,5	871,5	0	0					Reneta	3,5
14/04/2022	Cortland	Z	014-02-05-290	397	6895	1270,4	1270,4	0	0					Szampion	2,4
15/04/2022	Jonagored	Z	014-02-05-290	463	7358	1620,5	1620,5	0	0						
02/05/2022	Cortland	Z	014-02-05-290	52	7410	166,4	166,4	0	0						
19/05/2022	Idared	Z	014-02-05-290	225	7635	765	765	0	0						
08/06/2022	Papierowka	L	014-02-05-290	325	7960	1040	1040	0	0						
09/06/2022	Reneta	J	014-02-05-290	52	8012	182	182	0	0						
18/07/2022	Reneta	J	014-02-05-290	343	8355	1200,5	1200,5	0	0						
23/07/2022	Reneta	J	014-02-05-290	449	8804	1571,5	1571,5	0	0						
29/07/2022	Melba	L	014-02-05-290	434	9238	1171,8	1171,8	0	0						
05/08/2022	Melba	L	014-02-05-290	104	9342	280,8	280,8	0	0						
05/08/2022	Reneta	J	014-02-05-290	146	9488	511	511	0	0						
11/08/2022	Melba	L	014-02-05-290	34	9522	91,8	91,8	0	0						
22/08/2022	Melba	L	014-02-05-290	240	9762	648	648	0	0						
22/08/2022	Reneta	J	014-02-05-290	217	9979	759,5	759,5	0	0						
29/08/2022	Papierowka	L	014-02-05-290	319	10298	1020,8	1020,8	0	0						
06/09/2022	Lobo	J	014-02-05-290	20	10318	50	50	0	0						
06/09/2022	Delikates	J	014-02-05-290	331	10649	1059,2	1059,2	0	0						
09/09/2022	Reneta	J	014-02-05-290	398	11047	1393	1393	0	0						
17/09/2022	Reneta	J	014-02-05-290	88	11135	308	308	0	0						
23/09/2022	Delikates	J	014-02-05-290	370	11505	1184	1184	0	0						
24/09/2022	Delikates	J	014-02-05-290	298	11803	953,6	953,6	0	0						
26/09/2022	Kosztela	J	014-02-05-290	495	12298	1237,5	1237,5	0	0						
04/10/2022	Reneta	J	014-02-05-290	35	12333	122,5	122,5	0	0						
05/10/2022	Lobo	J	014-02-05-290	177	12510	442,5	442,5	0	0						
22/10/2022	Reneta	J	014-02-05-290	218	12728	763	763	0	0						
22/10/2022	Reneta	J	014-02-05-290	148	12876	518	518	0	0						
31/10/2022	Delikates	J	014-02-05-290	38	12914	121,6	121,6	0	0						
31/10/2022	Lobo	J	014-02-05-290	426	13340	1065	1065	0	0						
10/11/2022	Reneta	J	014-02-05-290	437	13777	1529,5	1529,5	0	0						
21/11/2022	Reneta	J	014-02-05-290	221	13998	773,5	773,5	0	0						
02/12/2022	Gala	Z	014-02-05-290	714	14712	2427,6	2427,6	0	0						
05/12/2022	Ligol	Z	014-02-05-290	295	15007	1003	988,25	14,75	1						
08/12/2022	Gala	Z	014-02-05-290	406	15413	1380,4	1360,1	20,3	1						
16/12/2022	Idared	Z	014-02-05-290	72	15485	244,8	241,2	3,6	1						
20/12/2022	Gloster	Z	014-02-05-290	356	15841	1210,4	1192,6	17,8	1						
31/12/2022	Idared	Z	014-02-05-290	383	16224	1302,2	1283,05	19,15	1						
05/01/2022	Cortland	Z	015-89-55-248	139	139	444,8	444,8	0	0						
12/01/2022	Jonagold	Z	015-89-55-248	284	423	965,6	965,6	0	0						
17/01/2022	Idared	Z	015-89-55-248	296	719	1006,4	1006,4	0	0						
24/03/2022	Szampion	Z	015-89-55-248	141	860	338,4	338,4	0	0						
08/04/2022	Szampion	Z	015-89-55-248	379	1239	909,6	909,6	0	0						
20/04/2022	Gloster	Z	015-89-55-248	166	1405	564,4	564,4	0	0						
21/04/2022	Ligol	Z	015-89-55-248	148	1553	503,2	503,2	0	0						
